date,algo_id,total_pnl,trades_count,wins,losses
2025-02-06 00:00:00,algo3,-1857.53,1,0,1
2024-07-18 00:00:00,algo1,-200.0,1,0,1
2024-03-14 00:00:00,algo1,-200.0,1,0,1
2024-04-02 00:00:00,algo1,200.0,1,1,0
2024-11-28 00:00:00,algo1,-200.0,1,0,1
2024-01-29 00:00:00,algo1,-200.0,1,0,1
2025-02-14 00:00:00,algo1,-200.0,1,0,1
2024-04-05 00:00:00,algo1,200.0,1,1,0
2025-03-28 00:00:00,algo1,200.0,1,1,0
2024-03-04 00:00:00,algo1,200.0,1,1,0
2024-09-17 00:00:00,algo1,200.0,1,1,0
2025-03-26 00:00:00,algo1,-200.0,1,0,1
2025-02-05 00:00:00,algo1,200.0,1,1,0
2024-02-02 00:00:00,algo1,-200.0,1,0,1
2024-12-06 00:00:00,algo1,200.0,1,1,0
2025-02-07 00:00:00,algo1,-200.0,1,0,1
2024-08-20 00:00:00,algo1,200.0,1,1,0
2024-10-07 00:00:00,algo1,-200.0,1,0,1
2025-03-12 00:00:00,algo1,-200.0,1,0,1
2025-02-04 00:00:00,algo1,-200.0,1,0,1
2024-07-04 00:00:00,algo1,200.0,1,1,0
2024-06-05 00:00:00,algo1,-200.0,1,0,1
2024-05-30 00:00:00,algo1,-200.0,1,0,1
2024-05-27 00:00:00,algo1,-200.0,1,0,1
2025-01-20 00:00:00,algo1,200.0,1,1,0
2024-05-31 00:00:00,algo1,200.0,1,1,0
2024-06-04 00:00:00,algo1,-200.0,1,0,1
2025-01-29 00:00:00,algo1,200.0,1,1,0
2025-02-12 00:00:00,algo1,-200.0,1,0,1
2024-07-16 00:00:00,algo1,200.0,1,1,0
2024-07-19 00:00:00,algo1,-200.0,1,0,1
2024-08-16 00:00:00,algo1,-200.0,1,0,1
2024-05-22 00:00:00,algo1,200.0,1,1,0
2024-11-11 00:00:00,algo1,-200.0,1,0,1
2024-06-21 00:00:00,algo1,-200.0,1,0,1
2024-07-05 00:00:00,algo1,200.0,1,1,0
2024-04-29 00:00:00,algo1,200.0,1,1,0
2025-02-19 00:00:00,algo1,-200.0,1,0,1
2024-12-23 00:00:00,algo1,200.0,1,1,0
2024-01-19 00:00:00,algo1,200.0,1,1,0
2024-08-01 00:00:00,algo1,200.0,1,1,0
2024-05-10 00:00:00,algo1,200.0,1,1,0
2024-02-23 00:00:00,algo1,200.0,1,1,0
2024-07-22 00:00:00,algo1,200.0,1,1,0
2024-11-25 00:00:00,algo1,200.0,1,1,0
2024-08-07 00:00:00,algo1,200.0,1,1,0
2024-07-30 00:00:00,algo1,200.0,1,1,0
2025-05-15 00:00:00,algo1,-200.0,1,0,1
2024-03-05 00:00:00,algo1,200.0,1,1,0
2025-03-13 00:00:00,algo1,200.0,1,1,0
2025-01-01 00:00:00,algo1,-200.0,1,0,1
2024-08-09 00:00:00,algo1,200.0,1,1,0
2024-02-19 00:00:00,algo1,200.0,1,1,0
2025-02-03 00:00:00,algo1,200.0,1,1,0
2024-01-18 00:00:00,algo1,-200.0,1,0,1
2024-08-02 00:00:00,algo1,200.0,1,1,0
2024-01-23 00:00:00,algo1,-200.0,1,0,1
2024-11-18 00:00:00,algo1,-200.0,1,0,1
2024-05-21 00:00:00,algo1,200.0,1,1,0
2024-10-09 00:00:00,algo1,-200.0,1,0,1
2024-04-25 00:00:00,algo1,-200.0,1,0,1
2024-01-01 00:00:00,algo1,200.0,1,1,0
